date,campaign_id,ad_group_id,impressions,clicks,conversions,spend
2025-10-11,C001,C001_AG1,1068,52,10,931.66
2025-10-12,C001,C001_AG1,1079,65,11,700.15
2025-10-13,C001,C001_AG1,1233,43,6,822.87
2025-10-14,C001,C001_AG1,1056,77,15,1272.73
2025-10-15,C001,C001_AG1,1145,33,1,522.44
2025-10-16,C001,C001_AG1,1484,97,14,639.83
2025-10-17,C001,C001_AG1,1419,71,6,753.22
2025-10-18,C001,C001_AG1,1475,111,25,1552.24
2025-10-19,C001,C001_AG1,1055,44,10,752.47
2025-10-20,C001,C001_AG1,1119,60,3,958.72
2025-10-21,C001,C001_AG1,1487,77,5,1147.01
2025-10-22,C001,C001_AG1,1081,55,9,1070.6
2025-10-23,C001,C001_AG1,1376,84,16,922.73
2025-10-24,C001,C001_AG1,1185,87,12,758.52
2025-10-25,C001,C001_AG1,1009,53,8,270.72
2025-10-26,C001,C001_AG1,1028,24,1,238.95
2025-10-27,C001,C001_AG1,1138,55,8,871.77
2025-10-28,C001,C001_AG1,1287,44,6,488.66
2025-10-29,C001,C001_AG1,1328,54,7,969.71
2025-10-30,C001,C001_AG1,1325,77,4,1226.09
2025-10-31,C001,C001_AG1,1053,33,5,234.39
2025-11-01,C001,C001_AG1,1230,89,5,1523.71
2025-11-02,C001,C001_AG1,1048,61,9,318.5
2025-11-03,C001,C001_AG1,1375,47,6,574.36
2025-11-04,C001,C001_AG1,1450,43,2,466.82
2025-11-05,C001,C001_AG1,1391,51,9,813.84
2025-11-06,C001,C001_AG1,1329,65,5,537.26
2025-11-07,C001,C001_AG1,1366,32,3,184.07
2025-11-08,C001,C001_AG1,1458,75,4,946.31
2025-11-09,C001,C001_AG1,1033,24,5,265.36
2025-11-10,C001,C001_AG1,1283,70,4,436.08
2025-11-11,C001,C001_AG1,1281,49,5,737.25
2025-11-12,C001,C001_AG1,1131,31,5,367.61
2025-11-13,C001,C001_AG1,1466,30,5,403.35
2025-11-14,C001,C001_AG1,1267,63,4,644.81
2025-11-15,C001,C001_AG1,1121,41,5,539.08
2025-11-16,C001,C001_AG1,1490,101,15,1516.81
2025-11-17,C001,C001_AG1,1464,38,8,340.75
2025-11-18,C001,C001_AG1,1370,40,4,326.38
2025-11-19,C001,C001_AG1,1342,95,14,832.85
2025-11-20,C001,C001_AG1,1024,59,12,334.02
2025-11-21,C001,C001_AG1,1064,83,6,965.09
2025-11-22,C001,C001_AG1,1279,34,8,522.42
2025-11-23,C001,C001_AG1,1017,42,6,480.77
2025-11-24,C001,C001_AG1,354,26,6,145.56
2025-11-25,C001,C001_AG1,1339,80,9,1071.86
2025-11-26,C001,C001_AG1,1485,96,22,820.9
2025-11-27,C001,C001_AG1,1398,42,5,323.0
2025-11-28,C001,C001_AG1,1390,62,11,993.6
2025-11-29,C001,C001_AG1,1078,66,8,368.34
2025-11-30,C001,C001_AG1,1098,82,9,1419.26
2025-12-01,C001,C001_AG1,1110,66,8,605.82
2025-12-02,C001,C001_AG1,1385,56,8,850.8
2025-12-03,C001,C001_AG1,1164,25,5,222.96
2025-12-04,C001,C001_AG1,1490,33,5,336.12
2025-12-05,C001,C001_AG1,1217,96,7,1775.29
2025-12-06,C001,C001_AG1,1021,47,7,803.59
2025-12-07,C001,C001_AG1,1468,94,8,1078.13
